,id,name,id_parent,url_id,updated,full_name
0,0,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ",-1,193747,12.09.2024 12:47:33,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ"
1,1,"МЕБЕЛЬ, ТОВАРЫ ДЛЯ ОТДЫХА",-1,348451,12.09.2024 12:47:32,"МЕБЕЛЬ, ТОВАРЫ ДЛЯ ОТДЫХА"
2,2,СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ,-1,61928,12.09.2024 12:47:32,СТРОИТЕЛЬНЫЕ МАТЕРИАЛЫ
3,3,САДОВО-ОГОРОДНЫЙ ИНВЕНТАРЬ,-1,61930,12.09.2024 12:47:32,САДОВО-ОГОРОДНЫЙ ИНВЕНТАРЬ
4,4,"ЛАКИ, КРАСКИ, КЛЕИ, ГЕРМЕТИКИ, РАСТВОРИТЕЛИ",-1,61926,12.09.2024 12:47:33,"ЛАКИ, КРАСКИ, КЛЕИ, ГЕРМЕТИКИ, РАСТВОРИТЕЛИ"
5,5,"АУДИО-ВИДЕО ТЕХНИКА, ТВ, НОУТБУКИ",-1,252377,12.09.2024 12:47:33,"АУДИО-ВИДЕО ТЕХНИКА, ТВ, НОУТБУКИ"
6,6,БЫТОВАЯ ТЕХНИКА,-1,86326,12.09.2024 12:47:33,БЫТОВАЯ ТЕХНИКА
7,7,"ЭЛ.ИНСТРУМЕНТЫ, БЕНЗОИНСТРУМЕНТЫ",-1,83214,12.09.2024 12:47:33,"ЭЛ.ИНСТРУМЕНТЫ, БЕНЗОИНСТРУМЕНТЫ"
8,8,"ЭЛ.УСТАНОВОЧНЫЕ ЭЛЕМЕНТЫ, СВЕТОТЕХНИКА",-1,91328,12.09.2024 12:47:33,"ЭЛ.УСТАНОВОЧНЫЕ ЭЛЕМЕНТЫ, СВЕТОТЕХНИКА"
9,9,БЫТОВОЕ ГАЗОВОЕ ОБОРУДОВАНИЕ,-1,83158,12.09.2024 12:47:33,БЫТОВОЕ ГАЗОВОЕ ОБОРУДОВАНИЕ
10,10,ПОСУДА,-1,83773,12.09.2024 12:47:33,ПОСУДА
11,11,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ,-1,82707,12.09.2024 12:47:33,ХОЗЯЙСТВЕННЫЕ ТОВАРЫ
12,12,"ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ, ТОВАРЫ ДЛЯ ДОМА",-1,83545,12.09.2024 12:47:33,"ИЗДЕЛИЯ ИЗ ПЛАСТМАССЫ, ТОВАРЫ ДЛЯ ДОМА"
13,13,ШВЕЙНЫЕ ИЗДЕЛИЯ,-1,94978,12.09.2024 12:47:33,ШВЕЙНЫЕ ИЗДЕЛИЯ
14,14,ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ,-1,61927,12.09.2024 12:47:33,ОТДЕЛОЧНЫЕ МАТЕРИАЛЫ
15,15,МЕТАЛЛИЧЕСКИЕ И МЕЖКОМНАТНЫЕ ДВЕРИ,-1,49254,12.09.2024 12:47:33,МЕТАЛЛИЧЕСКИЕ И МЕЖКОМНАТНЫЕ ДВЕРИ
16,16,ПОГОНАЖНЫЕ ИЗДЕЛИЯ ИЗ ДЕРЕВА,-1,76726,12.09.2024 12:47:33,ПОГОНАЖНЫЕ ИЗДЕЛИЯ ИЗ ДЕРЕВА
17,17,ЭЛЕКТРИЧЕСКИЕ ТЕПЛЫЕ ПОЛЫ,-1,69787,12.09.2024 12:47:33,ЭЛЕКТРИЧЕСКИЕ ТЕПЛЫЕ ПОЛЫ
18,18,САНТЕХНИКА,-1,61929,12.09.2024 12:47:33,САНТЕХНИКА
19,19,"ЗАМКИ, ПЕТЛИ, СКОБЯНЫЕ ИЗДЕЛИЯ",-1,38502,12.09.2024 12:47:33,"ЗАМКИ, ПЕТЛИ, СКОБЯНЫЕ ИЗДЕЛИЯ"
20,20,РУЧНОЙ ИНСТРУМЕНТ,-1,61931,12.09.2024 12:47:33,РУЧНОЙ ИНСТРУМЕНТ
21,21,"КОВРЫ, ПАЛАСЫ, ПРИДВЕРНЫЕ КОВРИКИ",-1,17883,12.09.2024 12:47:33,"КОВРЫ, ПАЛАСЫ, ПРИДВЕРНЫЕ КОВРИКИ"
22,22,ВЕШАЛКИ,-1,105635,12.09.2024 12:47:33,ВЕШАЛКИ
23,23,"ОБОГРЕВАТЕЛИ, УВЛАЖНИТЕЛИ, РЕЦИРКУЛЯТОРЫ",-1,214517,12.09.2024 12:47:32,"ОБОГРЕВАТЕЛИ, УВЛАЖНИТЕЛИ, РЕЦИРКУЛЯТОРЫ"
24,24,"ВЕНТИЛЯТОРЫ ""BALLU, ZANUSSI""",0,252495,14.07.2024 08:38:23,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ | ВЕНТИЛЯТОРЫ ""BALLU, ZANUSSI"""
25,25,"ВЕНТИЛЯТОРЫ ""DELTA""",0,90028,14.07.2024 08:38:23,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ | ВЕНТИЛЯТОРЫ ""DELTA"""
26,26,"ВЕНТИЛЯТОРЫ ""MYSTERY""",0,208030,14.07.2024 08:38:23,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ | ВЕНТИЛЯТОРЫ ""MYSTERY"""
27,27,"ВЕНТИЛЯТОРЫ ""POLARIS""",0,141223,14.07.2024 08:38:23,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ | ВЕНТИЛЯТОРЫ ""POLARIS"""
28,28,"ВЕНТИЛЯТОРЫ ""SCARLETT""",0,113143,07.07.2024 10:09:45,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ | ВЕНТИЛЯТОРЫ ""SCARLETT"""
29,29,"ВЕНТИЛЯТОРЫ ""ЛИРА""",0,329315,14.07.2024 08:38:23,"ВЕНТИЛЯТОРЫ, КОНДИЦИОНЕРЫ | ВЕНТИЛЯТОРЫ ""ЛИРА"""
